state,abbrev,svi_level
Alabama,AL,High to Very High
Alaska,AK,Moderate
Arizona,AZ,High to Very High
Arkansas,AR,High to Very High
California,CA,High to Very High
Colorado,CO,Very Low to Low
Connecticut,CT,Moderate
Delaware,DE,Moderate
DC,DC,Moderate
Florida,FL,High to Very High
Georgia,GA,Moderate
Hawaii,HI,Moderate
Idaho,ID,Very Low to Low
Illinois,IL,Moderate
Indiana,IN,Moderate
Iowa,IA,Very Low to Low
Kansas,KS,Very Low to Low
Kentucky,KY,Moderate
Louisiana,LA,High to Very High
Maine,ME,Very Low to Low
Maryland,MD,Very Low to Low
Massachusetts,MA,Moderate
Michigan,MI,Moderate
Minnesota,MN,Very Low to Low
Mississippi,MS,High to Very High
Missouri,MO,Moderate
Montana,MT,Very Low to Low
Nebraska,NE,Very Low to Low
Nevada,NV,High to Very High
New Hampshire,NH,Very Low to Low
New Jersey,NJ,Moderate
New Mexico,NM,High to Very High
New York,NY,Moderate
North Carolina,NC,Moderate
North Dakota,ND,Very Low to Low
Ohio,OH,Moderate
Oklahoma,OK,High to Very High
Oregon,OR,Moderate
Pennsylvania,PA,Moderate
Rhode Island,RI,Moderate
South Carolina,SC,High to Very High
South Dakota,SD,Very Low to Low
Tennessee,TN,Moderate
Texas,TX,High to Very High
Utah,UT,Very Low to Low
Vermont,VT,Very Low to Low
Virginia,VA,Very Low to Low
Washington,WA,Moderate
West Virginia,WV,Moderate
Wisconsin,WI,Very Low to Low
Wyoming,WY,Very Low to Low